topic,problem_statement,solution,correct option
Spatial reasoning,"You have four rods of different lengths: 8 cm, 5 cm, 12 cm, and 3 cm. You must create a three-dimensional shape with all four rods so that each rod is connected to two others at its ends, forming a closed structure with triangular faces. How many distinct shapes can you form, considering that two shapes are distinct if they cannot be rotated or mirrored to look identical?","Step­ 1.  Interpret the “shape” as a closed 4-rod loop (every rod meets two others, one at each end), i.e. a quadrilateral frame whose sides are the rods.  
Step­ 2.  Label the rods by their lengths 3, 5, 8, 12 and ask: how many ways can we arrange these four distinct edges around a 4-cycle, up to rigid motions and reflections?  
Step­ 3.  The number of distinct cyclic orderings of n labeled items, with flips identified, is  
      (n – 1)! / 2.  
      Here n = 4, so we get (4–1)!/2 = 3!/2 = 6/2 = 3.  
Step­ 4.  Each of those three inequivalent orderings yields a non-self-crossing quadrilateral in space (it can be folded in 3D) and no two of them can be made to coincide by rotation or by mirroring.  

Hence there are exactly 3 distinct closed shapes.  

CORRECT ANSWER: 3",3
Lateral thinking,"A woman shoots her husband. Then she holds him underwater for five minutes. Finally, she hangs him. But 5 minutes later, they both go out and enjoy a lovely dinner together. How can this be?","Step-by-step reasoning  
1. At first glance “shoots her husband,” “holds him underwater,” and “hangs him” sound like violent acts leading to murder.  
2. Yet five minutes later the couple happily goes out to dinner—so the husband can’t have been killed.  
3. This suggests the verbs are being used in a non-literal sense.  
4. In photography you “shoot” with a camera, then “hold” the developing print in liquid (developer or fixer), and finally “hang” the photo to dry.  
5. Once the photo is developed, both people (the photographer and her subject, the husband) are perfectly fine and can go to dinner together.  

CORRECT ANSWER: 4",4
Classic riddles,You are in a race and you overtake the second person. What position are you in now?,"Step-by-step reasoning:
1. Before overtaking, you must have been immediately behind the person in second place, so you were in third place.
2. You overtake the person who is in second place.
3. By passing them, you take their position (second), and they drop to third.
4. The person who was in first remains in first.

Therefore, after overtaking the second‐place runner, you are now in second place.

CORRECT ANSWER: 2",2
Operation of mechanisms,"In a factory, there are three machines A, B, and C. Machine A polishes items, Machine B engraves them and Machine C performs a quality check. Every item must go through all three processes. The time taken by the machines is different: A takes 3 minutes per item, B takes 4 minutes per item, and C takes 2 minutes per item. Given that each machine can only handle one item at a time, in what order should the items be processed so that the maximum number of items are completed in 60 minutes?","Step 1: Identify the processing times and the fact that this is a permutation flow‐shop with identical jobs.  
  – pA = 3 min, pB = 4 min, pC = 2 min.  
  – Every job must visit each machine once; we may choose any machine order (no blocking or transport delays assumed).  

Step 2: Compute the average cycle time once the pipeline is full.  
  – The “bottleneck” is the slowest machine, which is B at 4 min.  
  – After the first job has gone through all three machines (which takes 3+4+2=9 min), a new job will finish every 4 min.  

Step 3: Compute how many jobs finish within 60 min.  
  – First job finishes at t=9 min.  
  – Each additional job finishes each 4 min thereafter.  
  – So if k jobs finish by t=60:  
       9 + (k−1)·4 ≤ 60  
       (k−1)·4 ≤ 51  
       k−1 ≤ 12.75  
       k ≤ 13.75 ⇒ kmax=13  

Step 4: Observe that neither the sum of processing times (9 min) nor the bottleneck time (4 min) depends on the order in which A, B, and C are arranged.  Hence every permutation yields exactly 13 completed items in 60 min.

Conclusion: No fixed ordering of A, B, C outperforms any other – the throughput is 13 jobs in 60 min regardless of sequence. This is not among options 1–4, so we choose “another answer.”

CORRECT ANSWER: 5",5
Operation of mechanisms,"You have three seemingly identical machines, each with a single button on top. One of the machines is programmed to always dispense a gold coin when its button is pressed, another is programmed to always dispense a silver coin, and the third machine is programmed to randomly dispense either a gold coin or nothing. You don't have any coins to start with. Your task is to determine the mechanism of each machine by pushing their buttons as few times as possible, but there's a catch: After you push a button, there is a cooling-off period where you must wait 15 minutes before you can push any button again. What is the fewest number of times you have to press the buttons to be certain of each machine's operation?","Here is the key insight:

· A silver coin can only come from the “always‐silver” machine (call it S).  
· A “nothing” result can only come from the “random” machine (call it R).  
· A gold coin can come from either the “always‐gold” machine (call it G) or R.

Strategy sketch: You press machines until you see a “silver” (identifies S) and a “nothing” (identifies R); the remaining machine must be G. But R may—by pure bad luck—keep spitting out gold forever, in which case every press on it looks exactly like G. No finite number of gold‐only observations can distinguish “always‐gold” from “random‐but‐so‐far‐all‐gold.” You only become certain that a machine is R when you actually observe a “nothing.” In the worst case that might never happen in any finite sequence of presses.

Therefore there is no finite upper bound on the number of presses needed to be 100% certain.  

CORRECT ANSWER: 4",4
Sequence solving,"You are presented with a sequence of numbers that represent the number of dots in a series of images: 1, 5, 12, 22, 35, ? You have to figure out the principle that generates the sequence. What is the number represented by the question mark?","1. First, list the given sequence and compute the successive differences  
   Sequence: 1, 5, 12, 22, 35, ?  
   Differences:  
   5 – 1 = 4  
   12 – 5 = 7  
   22 – 12 = 10  
   35 – 22 = 13  

2. Observe that the differences themselves form an arithmetic progression  
   4, 7, 10, 13, …  
   which increases by 3 each time.  

3. Predict the next difference by continuing that progression  
   Next difference = 13 + 3 = 16  

4. Add that to the last known term  
   Next term = 35 + 16 = 51  

Therefore, the missing number is 51, which corresponds to option 3.  

CORRECT ANSWER: 3",3
Optimization of actions and planning,"Alice is planning her work schedule for the week. She has 3 tasks to complete: Task A takes 4 hours, Task B takes 3 hours, and Task C takes 2 hours. She can work a maximum of 5 hours per day. She has personal commitments on Wednesday, so she can't work more than 2 hours. What is the minimum number of days Alice needs to finish all tasks if she wants to dedicate entire work blocks to a single task and not split any task across days?","1. Identify tasks and durations:
   - Task A: 4 h  
   - Task B: 3 h  
   - Task C: 2 h  

2. Daily work limits:
   - Any normal day: up to 5 h  
   - Wednesday: up to 2 h  

3. Constraints:
   - No task may be split across days.  
   - Multiple whole tasks may be done in one day so long as the sum of their durations does not exceed the daily limit.  

4. Packing tasks to minimize days:
   - Combine Task B (3 h) and Task C (2 h) on one 5 h day.  
   - Complete Task A (4 h) on a second day (4 h ≤ 5 h).  
   - All tasks are finished in 2 days, and there is no need to work on Wednesday.  

Therefore, the minimum number of days required is 2.  

CORRECT ANSWER: 1",1
Spatial reasoning,"You have a 10x10x10 cube made up of 1x1x1 smaller cubes. The large cube is painted red on all of the outside surfaces. If the 10x10x10 cube is broken into the individual 1x1x1 cubes, how many of the smaller cubes will have red paint on exactly two sides?","1. Let N = 10 be the side-length of the big cube in small-cube units.  
2. A small cube has exactly two painted faces precisely when it lies on an edge of the big cube but is not a corner.  
3. Each edge of the big cube has N = 10 small cubes along it; removing the 2 corners leaves 10 – 2 = 8 “edge-only” cubes per edge.  
4. A cube has 12 edges, so the total number of small cubes with exactly two painted faces is 12 × 8 = 96.  

CORRECT ANSWER: 2",2
Optimization of actions and planning,"Four friends are planning to attend a series of events in a single day. They want to maximize the total number of different events they can attend. The schedule is as follows: Event A (09:00-11:00), Event B (10:30-12:30), Event C (11:15-13:15), and Event D (12:45-14:45). Assume traveling time between events is negligible and each friend can attend an event from the beginning to the end only if they don't overlap. What is the maximum number of different events the group can attend in total if they split up optimally and each event requires at least one of them to be present?","Step 1: List the events with their time‐intervals  
  A : 09 :00–11 :00  
  B : 10 :30–12 :30  
  C : 11 :15–13 :15  
  D : 12 :45–14 :45  

Step 2: Note which events overlap  
  – A and B overlap from 10 :30 to 11 :00  
  – A and C do *not* overlap (A ends at 11 :00, C starts at 11 :15)  
  – B and C overlap from 11 :15 to 12 :30  
  – B and D do *not* overlap (B ends at 12 :30, D starts at 12 :45)  
  – C and D overlap from 12 :45 to 13 :15  

Step 3: Check the maximum number of simultaneously running events  
  – The busiest moment is when two events overlap (no time slot has three or four events overlapping).  

Step 4: Assign friends to cover all events  
  We have four friends, so at any point we can station up to four people. Since at most two events run at once, it is easily possible to send different friends to each overlapping event. For example:  
    • Friend 1 attends A (09–11) then C (11 :15–13 :15)  
    • Friend 2 attends B (10 :30–12 :30) then D (12 :45–14 :45)  
    • Friends 3 and 4 remain on standby (or cover duplicates if desired)  

This schedule covers A, B, C, and D, i.e. all 4 different events. Since there are only 4 events total, the group cannot exceed 4 unique events.  

CORRECT ANSWER: 2",2
Classic riddles,"A wealthy book collector dies and leaves a will stating that his gold shall be shared among his three sons. According to the will, the eldest son will get half of the gold coins, the middle son will get one-third, and the youngest will get one-ninth. The book collector had 17 gold coins. To prevent them from melting down or damaging the coins to divide them, how can the sons divide the gold fairly according to the will's conditions?","Step-by-step reasoning:

1. The will demands that out of the total coins, the eldest gets 1/2, the middle 1/3, and the youngest 1/9.
2. With only 17 coins, 17·(1/2)=8.5, 17·(1/3)≈5.67, 17·(1/9)≈1.89—none of these are whole coins.
3. The classic trick is to “borrow” 1 extra coin (making 18) so that each fraction becomes a whole number:
   - Eldest: 1/2 of 18 = 9  
   - Middle: 1/3 of 18 = 6  
   - Youngest: 1/9 of 18 = 2  
4. Total distributed = 9 + 6 + 2 = 17.  
5. The borrowed 1 coin is then returned, and each son has received the exact fraction required without cutting or melting any coins.

CORRECT ANSWER: 1",1
Sequence solving,"You're shown a sequence of numbers that appear to be increasing unpredictably: 2, 5, 10, 17, 26. You need to figure out the rule that governs the sequence to predict the next two numbers. What are the sixth and seventh numbers in this sequence?","1. First, observe the given sequence and compute the successive differences:
   • 5 – 2 = 3  
   • 10 – 5 = 5  
   • 17 – 10 = 7  
   • 26 – 17 = 9  

2. These differences are odd numbers increasing by 2 each time (3, 5, 7, 9,…).  
   • The next difference should be 11, so the sixth term is 26 + 11 = 37.  
   • The following difference should be 13, so the seventh term is 37 + 13 = 50.

3. Alternatively, one can note that the nth term is n² + 1:  
   • 1²+1=2, 2²+1=5, 3²+1=10, 4²+1=17, 5²+1=26, hence 6²+1=37 and 7²+1=50.

Therefore, the sixth and seventh terms are 37 and 50, which corresponds to option 1.

CORRECT ANSWER: 1",1
Sequence solving,"Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. The sequence begins with the number 2, and the rule to find the next number is to sum the digits of the square of the current number. The beginning of the sequence is as follows: 2, 4, 16, 7, 49, 16, 7... What is the 10th number in the sequence?","Step-by-step (using “next = sum of the digits of (current)²”):

1. a₁ = 2  
2. Square 2 → 4; sum its digits → 4.  ⇒ a₂ = 4  
3. Square 4 → 16; sum its digits → 1+6 = 7. ⇒ a₃ = 7  
4. Square 7 → 49; sum its digits → 4+9 = 13. ⇒ a₄ = 13  
5. Square 13 → 169; sum its digits → 1+6+9 = 16. ⇒ a₅ = 16  
6. Square 16 → 256; sum its digits → 2+5+6 = 13. ⇒ a₆ = 13  
7. Square 13 → 169; sum its digits → 16. ⇒ a₇ = 16  
8. Square 16 → 256; sum its digits → 13. ⇒ a₈ = 13  
9. Square 13 → 169; sum its digits → 16. ⇒ a₉ = 16  
10. Square 16 → 256; sum its digits → 13. ⇒ a₁₀ = 13  

So from n=4 onward the terms alternate 13,16. Thus the 10th term is 13, which is answer choice 3.  

CORRECT ANSWER: 3",3
